year,lcm_county_id,rate
2011,06001,-0.02
2011,06013,-0.017
2011,06041,-0.104
2011,06055,-0.07
2011,06075,-0.051
2011,06081,-0.039
2011,06085,-0.027
2011,06095,-0.019
2011,06097,0.007
2012,06001,0.021
2012,06013,-0.024
2012,06041,0.147
2012,06055,0.091
2012,06075,0.022
2012,06081,-0.023
2012,06085,0.053
2012,06095,-0.048
2012,06097,-0.039
2013,06001,0.012
2013,06013,0.051
2013,06041,0.051
2013,06055,0.02
2013,06075,0.046
2013,06081,0.103
2013,06085,-0.008
2013,06095,0.009
2013,06097,0.004
2014,06001,0.047
2014,06013,-0.002
2014,06041,-0.026
2014,06055,0.026
2014,06075,0.078
2014,06081,0.087
2014,06085,0.041
2014,06095,0.051
2014,06097,0.09
2015,06001,0.043
2015,06013,0.019
2015,06041,0.036
2015,06055,0.004
2015,06075,0.067
2015,06081,-0.012
2015,06085,0.034
2015,06095,-0.023
2015,06097,-0.03
2016,06001,0.077
2016,06013,0.071
2016,06041,0.009
2016,06055,-0.028
2016,06075,0.102
2016,06081,0.049
2016,06085,0.061
2016,06095,0.072
2016,06097,0.084
2017,06001,0.04
2017,06013,0.017
2017,06041,0.066
2017,06055,0.12
2017,06075,0.037
2017,06081,0.043
2017,06085,0.041
2017,06095,0.014
2017,06097,0.057
2018,06001,0.023
2018,06013,0.028
2018,06041,0.07
2018,06055,-0.03
2018,06075,-0.022
2018,06081,0.029
2018,06085,0.026
2018,06095,0.055
2018,06097,-0.024
2019,06001,0.03
2019,06013,0.024
2019,06041,-0.148
2019,06055,0.035
2019,06075,0.07
2019,06081,0.081
2019,06085,0.021
2019,06095,-0.003
2019,06097,0.048
2020,06001,0.055
2020,06013,0.046
2020,06041,-0.018
2020,06055,0.036
2020,06075,0.069
2020,06081,0.075
2020,06085,0.046
2020,06095,0.046
2020,06097,0.048
2021,06001,0.058
2021,06013,0.05
2021,06041,-0.022
2021,06055,0.038
2021,06075,0.073
2021,06081,0.08
2021,06085,0.048
2021,06095,0.051
2021,06097,0.051
2022,06001,0.061
2022,06013,0.053
2022,06041,-0.025
2022,06055,0.04
2022,06075,0.077
2022,06081,0.085
2022,06085,0.051
2022,06095,0.055
2022,06097,0.054
2023,06001,0.063
2023,06013,0.056
2023,06041,-0.028
2023,06055,0.042
2023,06075,0.08
2023,06081,0.089
2023,06085,0.053
2023,06095,0.058
2023,06097,0.057
2024,06001,0.065
2024,06013,0.058
2024,06041,-0.031
2024,06055,0.043
2024,06075,0.082
2024,06081,0.092
2024,06085,0.054
2024,06095,0.061
2024,06097,0.059
2025,06001,0.067
2025,06013,0.059
2025,06041,-0.032
2025,06055,0.044
2025,06075,0.084
2025,06081,0.095
2025,06085,0.055
2025,06095,0.063
2025,06097,0.061
2026,06001,0.068
2026,06013,0.061
2026,06041,-0.033
2026,06055,0.045
2026,06075,0.085
2026,06081,0.096
2026,06085,0.056
2026,06095,0.064
2026,06097,0.062
2027,06001,0.068
2027,06013,0.061
2027,06041,-0.034
2027,06055,0.045
2027,06075,0.086
2027,06081,0.097
2027,06085,0.056
2027,06095,0.065
2027,06097,0.062
2028,06001,0.068
2028,06013,0.061
2028,06041,-0.034
2028,06055,0.045
2028,06075,0.086
2028,06081,0.097
2028,06085,0.056
2028,06095,0.065
2028,06097,0.062
2029,06001,0.068
2029,06013,0.061
2029,06041,-0.033
2029,06055,0.045
2029,06075,0.085
2029,06081,0.096
2029,06085,0.056
2029,06095,0.064
2029,06097,0.062
2030,06001,0.067
2030,06013,0.059
2030,06041,-0.032
2030,06055,0.044
2030,06075,0.084
2030,06081,0.095
2030,06085,0.055
2030,06095,0.063
2030,06097,0.061
2031,06001,0.065
2031,06013,0.058
2031,06041,-0.031
2031,06055,0.043
2031,06075,0.082
2031,06081,0.092
2031,06085,0.054
2031,06095,0.061
2031,06097,0.059
2032,06001,0.063
2032,06013,0.056
2032,06041,-0.028
2032,06055,0.042
2032,06075,0.08
2032,06081,0.089
2032,06085,0.053
2032,06095,0.058
2032,06097,0.057
2033,06001,0.061
2033,06013,0.053
2033,06041,-0.025
2033,06055,0.04
2033,06075,0.077
2033,06081,0.085
2033,06085,0.051
2033,06095,0.055
2033,06097,0.054
2034,06001,0.058
2034,06013,0.05
2034,06041,-0.022
2034,06055,0.038
2034,06075,0.073
2034,06081,0.08
2034,06085,0.048
2034,06095,0.051
2034,06097,0.051
2035,06001,0.055
2035,06013,0.046
2035,06041,-0.018
2035,06055,0.036
2035,06075,0.069
2035,06081,0.075
2035,06085,0.046
2035,06095,0.046
2035,06097,0.048
2036,06001,0.051
2036,06013,0.041
2036,06041,-0.013
2036,06055,0.033
2036,06075,0.064
2036,06081,0.069
2036,06085,0.043
2036,06095,0.04
2036,06097,0.044
2037,06001,0.046
2037,06013,0.037
2037,06041,-0.008
2037,06055,0.03
2037,06075,0.059
2037,06081,0.061
2037,06085,0.039
2037,06095,0.034
2037,06097,0.039
2038,06001,0.041
2038,06013,0.031
2038,06041,-0.002
2038,06055,0.026
2038,06075,0.053
2038,06081,0.053
2038,06085,0.036
2038,06095,0.028
2038,06097,0.034
2039,06001,0.036
2039,06013,0.025
2039,06041,0.004
2039,06055,0.023
2039,06075,0.046
2039,06081,0.045
2039,06085,0.031
2039,06095,0.02
2039,06097,0.028
2040,06001,0.03
2040,06013,0.018
2040,06041,0.011
2040,06055,0.019
2040,06075,0.039
2040,06081,0.035
2040,06085,0.027
2040,06095,0.012
2040,06097,0.022
2041,06001,0.0408
2041,06013,0.0304
2041,06041,-0.0016
2041,06055,0.0262
2041,06075,0.0522
2041,06081,0.0526
2041,06085,0.0352
2041,06095,0.0268
2041,06097,0.0334
2042,06001,0.0408
2042,06013,0.0304
2042,06041,-0.0016
2042,06055,0.0262
2042,06075,0.0522
2042,06081,0.0526
2042,06085,0.0352
2042,06095,0.0268
2042,06097,0.0334
2043,06001,0.0408
2043,06013,0.0304
2043,06041,-0.0016
2043,06055,0.0262
2043,06075,0.0522
2043,06081,0.0526
2043,06085,0.0352
2043,06095,0.0268
2043,06097,0.0334
2044,06001,0.0408
2044,06013,0.0304
2044,06041,-0.0016
2044,06055,0.0262
2044,06075,0.0522
2044,06081,0.0526
2044,06085,0.0352
2044,06095,0.0268
2044,06097,0.0334
2045,06001,0.0408
2045,06013,0.0304
2045,06041,-0.0016
2045,06055,0.0262
2045,06075,0.0522
2045,06081,0.0526
2045,06085,0.0352
2045,06095,0.0268
2045,06097,0.0334
2046,06001,0.0408
2046,06013,0.0304
2046,06041,-0.0016
2046,06055,0.0262
2046,06075,0.0522
2046,06081,0.0526
2046,06085,0.0352
2046,06095,0.0268
2046,06097,0.0334
2047,06001,0.0408
2047,06013,0.0304
2047,06041,-0.0016
2047,06055,0.0262
2047,06075,0.0522
2047,06081,0.0526
2047,06085,0.0352
2047,06095,0.0268
2047,06097,0.0334
2048,06001,0.0408
2048,06013,0.0304
2048,06041,-0.0016
2048,06055,0.0262
2048,06075,0.0522
2048,06081,0.0526
2048,06085,0.0352
2048,06095,0.0268
2048,06097,0.0334
2049,06001,0.0408
2049,06013,0.0304
2049,06041,-0.0016
2049,06055,0.0262
2049,06075,0.0522
2049,06081,0.0526
2049,06085,0.0352
2049,06095,0.0268
2049,06097,0.0334
2050,06001,0.0408
2050,06013,0.0304
2050,06041,-0.0016
2050,06055,0.0262
2050,06075,0.0522
2050,06081,0.0526
2050,06085,0.0352
2050,06095,0.0268
2050,06097,0.0334
