CDS_CODE,NCESDist,DISTRICT,SCHOOL,COUNTY,YEAR,SCHOOL_LEVEL,BLOCKCE10,GEOID10,CAP_TOTAL,LEN_NCES_CODE,LEN_CDS_CODE,COUNTY_ID,SCHOOL_ID,DISTRICT_ID
01100170112607,0691051,Alameda County Office of Education,Envision Academy for Arts & Technology,Alameda,2011,HIGH,1028,60014029001028,366,7,13,01,0112607,91051
01100170123968,0691051,Alameda County Office of Education,Community School for Creative Education,Alameda,2011,ELEMENTARY,1089,60014060001089,82,7,13,01,0123968,91051
01100170124172,0691051,Alameda County Office of Education,Yu Ming Charter,Alameda,2011,ELEMENTARY,1009,60014008001009,111,7,13,01,0124172,91051
01100170130401,0691051,Alameda County Office of Education,Alameda County Juvenile Hall/Court,Alameda,2011,HIGH,1003,60014305001003,34,7,13,01,0130401,91051
01100170130401,0691051,Alameda County Office of Education,Alameda County Juvenile Hall/Court,Alameda,2011,MIDDLE,1003,60014305001003,209,7,13,01,0130401,91051
01100170130419,0691051,Alameda County Office of Education,Alameda County Community,Alameda,2011,HIGH,2026,60014367002026,27,7,13,01,0130419,91051
01100170130419,0691051,Alameda County Office of Education,Alameda County Community,Alameda,2011,MIDDLE,2026,60014367002026,172,7,13,01,0130419,91051
01100176001788,0691051,Alameda County Office of Education,Cox Academy,Alameda,2011,ELEMENTARY,1007,60014103001007,610,7,13,01,6001788,91051
01316090131755,0600002,California School for the Blind (State Special Sch,California School for the Blind,Alameda,2011,HIGH,2004,60014419252004,75,7,13,01,0131755,00002
01316170131763,0600003,California School for the Deaf-Fremont (State Spec,California School for the Deaf-Fremont,Alameda,2011,ELEMENTARY,2009,60014419252009,456,7,13,01,0131763,00003
01611190106401,0601770,Alameda City Unified,Alameda Science and Technology Institute,Alameda,2011,HIGH,1007,60014287001007,183,7,13,01,0106401,01770
01611190111765,0601770,Alameda City Unified,Ruby Bridges Elementary,Alameda,2011,ELEMENTARY,1042,60014287001042,666,7,13,01,0111765,01770
01611190119222,0601770,Alameda City Unified,Nea Community Learning Center,Alameda,2011,ELEMENTARY,2002,60014276002002,520,7,13,01,0119222,01770
01611190122085,0601770,Alameda City Unified,Academy of Alameda,Alameda,2011,MIDDLE,2002,60014276002002,519,7,13,01,0122085,01770
01611190130229,0601770,Alameda City Unified,Alameda High,Alameda,2011,HIGH,1015,60014280001015,2069,7,13,01,0130229,01770
01611190130609,0601770,Alameda City Unified,Alameda Community Learning Center,Alameda,2011,MIDDLE,2002,60014276002002,336,7,13,01,0130609,01770
01611190134304,0601770,Alameda City Unified,Island High (Continuation),Alameda,2011,HIGH,2009,60014276002009,188,7,13,01,0134304,01770
01611196090013,0601770,Alameda City Unified,Edison Elementary,Alameda,2011,ELEMENTARY,3026,60014271003026,493,7,13,01,6090013,01770
01611196090021,0601770,Alameda City Unified,Frank Otis Elementary,Alameda,2011,ELEMENTARY,1024,60014282001024,557,7,13,01,6090021,01770
01611196090039,0601770,Alameda City Unified,Franklin Elementary,Alameda,2011,ELEMENTARY,2003,60014279002003,346,7,13,01,6090039,01770
01611196090047,0601770,Alameda City Unified,Henry Haight Elementary,Alameda,2011,ELEMENTARY,2001,60014280002001,418,7,13,01,6090047,01770
01611196090054,0601770,Alameda City Unified,Lincoln Middle,Alameda,2011,MIDDLE,2000,60014282002000,1068,7,13,01,6090054,01770
01611196090112,0601770,Alameda City Unified,Will C. Wood Middle,Alameda,2011,MIDDLE,2013,60014285002013,657,7,13,01,6090112,01770
01611196090120,0601770,Alameda City Unified,William G. Paden Elementary,Alameda,2011,ELEMENTARY,2008,60014277002008,379,7,13,01,6090120,01770
01611196100374,0601770,Alameda City Unified,Amelia Earhart Elementary,Alameda,2011,ELEMENTARY,3002,60014283023002,647,7,13,01,6100374,01770
01611196110779,0601770,Alameda City Unified,Bay Farm Elementary,Alameda,2011,ELEMENTARY,2021,60014283022021,513,7,13,01,6110779,01770
01611270130294,0601860,Albany City Unified,MacGregor High (Continuation),Alameda,2011,HIGH,1012,60014201001012,48,7,13,01,0130294,01860
01611270130450,0601860,Albany City Unified,Albany High,Alameda,2011,HIGH,1012,60014201001012,1125,7,13,01,0130450,01860
01611270130450,0601860,Albany City Unified,Albany High,Alameda,2011,MIDDLE,1012,60014201001012,211,7,13,01,0130450,01860
01611276090146,0601860,Albany City Unified,Cornell Elementary,Alameda,2011,ELEMENTARY,1011,60014205001011,622,7,13,01,6090146,01860
01611276090161,0601860,Albany City Unified,Albany Middle,Alameda,2011,MIDDLE,1006,60014201001006,1000,7,13,01,6090161,01860
01611276095376,0601860,Albany City Unified,Marin Elementary,Alameda,2011,ELEMENTARY,2011,60014206002011,570,7,13,01,6095376,01860
01611276116222,0601860,Albany City Unified,Ocean View Elementary,Alameda,2011,ELEMENTARY,1001,60014204001001,643,7,13,01,6116222,01860
01611430131177,0604740,Berkeley Unified,Berkeley High,Alameda,2011,HIGH,2018,60014229002018,3245,7,13,01,0131177,04740
01611430131177,0604740,Berkeley Unified,Berkeley High,Alameda,2011,MIDDLE,2018,60014229002018,337,7,13,01,0131177,04740
01611430134924,0604740,Berkeley Unified,Berkeley Technology Academy,Alameda,2011,HIGH,2006,60014235002006,147,7,13,01,0134924,04740
01611436056857,0604740,Berkeley Unified,Martin Luther King Middle,Alameda,2011,MIDDLE,1003,60014218001003,1024,7,13,01,6056857,04740
01611436056865,0604740,Berkeley Unified,Willard Middle,Alameda,2011,MIDDLE,1002,60014236011002,601,7,13,01,6056865,04740
01611436090187,0604740,Berkeley Unified,Rosa Parks Environmental Science Magnet,Alameda,2011,ELEMENTARY,1019,60014232001019,486,7,13,01,6090187,04740
01611436090195,0604740,Berkeley Unified,Cragmont Elementary,Alameda,2011,ELEMENTARY,2010,60014215002010,425,7,13,01,6090195,04740
01611436090211,0604740,Berkeley Unified,Emerson Elementary,Alameda,2011,ELEMENTARY,2005,60014237002005,320,7,13,01,6090211,04740
01611436090252,0604740,Berkeley Unified,Jefferson Elementary,Alameda,2011,ELEMENTARY,2001,60014219002001,359,7,13,01,6090252,04740
01611436090278,0604740,Berkeley Unified,Leconte Elementary,Alameda,2011,ELEMENTARY,2009,60014236012009,351,7,13,01,6090278,04740
01611436090286,0604740,Berkeley Unified,Malcolm X Elementary,Alameda,2011,ELEMENTARY,1002,60014240011002,509,7,13,01,6090286,04740
01611436090294,0604740,Berkeley Unified,Longfellow Arts and Technology Middle,Alameda,2011,MIDDLE,3003,60014234003003,508,7,13,01,6090294,04740
01611436090302,0604740,Berkeley Unified,Oxford Elementary,Alameda,2011,ELEMENTARY,1004,60014231001004,332,7,13,01,6090302,04740
01611436090310,0604740,Berkeley Unified,Thousand Oaks Elementary,Alameda,2011,ELEMENTARY,1027,60014213001027,476,7,13,01,6090310,04740
01611436090328,0604740,Berkeley Unified,Washington Elementary,Alameda,2011,ELEMENTARY,2007,60014230002007,469,7,13,01,6090328,04740
01611436097729,0604740,Berkeley Unified,Berkeley Arts Magnet at Whittier,Alameda,2011,ELEMENTARY,3007,60014224003007,455,7,13,01,6097729,04740
01611436105316,0604740,Berkeley Unified,John Muir Elementary,Alameda,2011,ELEMENTARY,2004,60014238002004,271,7,13,01,6105316,04740
01611500130047,0607800,Castro Valley Unified,Roy A. Johnson High,Alameda,2011,HIGH,1003,60014304001003,12,7,13,01,0130047,07800
01611500132225,0607800,Castro Valley Unified,Castro Valley High,Alameda,2011,HIGH,2009,60014307002009,3268,7,13,01,0132225,07800
01611500135533,0607800,Castro Valley Unified,Redwood Continuation High,Alameda,2011,HIGH,1006,60014304001006,162,7,13,01,0135533,07800
01611506090351,0607800,Castro Valley Unified,Castro Valley Elementary,Alameda,2011,ELEMENTARY,1002,60014309001002,476,7,13,01,6090351,07800
01611506090369,0607800,Castro Valley Unified,Chabot Elementary,Alameda,2011,ELEMENTARY,1008,60014307001008,488,7,13,01,6090369,07800
01611506090385,0607800,Castro Valley Unified,Creekside Middle,Alameda,2011,MIDDLE,3010,60014308003010,872,7,13,01,6090385,07800
01611506090393,0607800,Castro Valley Unified,Independent Elementary,Alameda,2011,ELEMENTARY,1002,60014301011002,652,7,13,01,6090393,07800
01611506090401,0607800,Castro Valley Unified,Marshall Elementary,Alameda,2011,ELEMENTARY,3020,60014308003020,469,7,13,01,6090401,07800
01611506090419,0607800,Castro Valley Unified,Palomares Elementary,Alameda,2011,ELEMENTARY,1010,60014351031010,156,7,13,01,6090419,07800
01611506090435,0607800,Castro Valley Unified,Proctor Elementary,Alameda,2011,ELEMENTARY,5008,60014302005008,555,7,13,01,6090435,07800
01611506090468,0607800,Castro Valley Unified,Stanton Elementary,Alameda,2011,ELEMENTARY,3016,60014306003016,482,7,13,01,6090468,07800
01611506090484,0607800,Castro Valley Unified,Vannoy Elementary,Alameda,2011,ELEMENTARY,1018,60014302001018,415,7,13,01,6090484,07800
01611506097653,0607800,Castro Valley Unified,Canyon Middle,Alameda,2011,MIDDLE,1063,60014301021063,1547,7,13,01,6097653,07800
01611506113005,0607800,Castro Valley Unified,Jensen Ranch Elementary,Alameda,2011,ELEMENTARY,2006,60014301012006,456,7,13,01,6113005,07800
01611680132746,0612630,Emery Unified,Emery Secondary,Alameda,2011,MIDDLE,2000,60014251042000,290,7,13,01,0132746,12630
01611686090492,0612630,Emery Unified,Anna Yates Elementary,Alameda,2011,ELEMENTARY,2000,60014251042000,494,7,13,01,6090492,12630
01611760130062,0614400,Fremont Unified,American High,Alameda,2011,HIGH,4002,60014413024002,1596,7,13,01,0130062,14400
01611760130062,0614400,Fremont Unified,American High,Alameda,2011,MIDDLE,4002,60014413024002,619,7,13,01,0130062,14400
01611760130138,0614400,Fremont Unified,Robertson High (Continuation),Alameda,2011,HIGH,3005,60014430023005,188,7,13,01,0130138,14400
01611760130138,0614400,Fremont Unified,Robertson High (Continuation),Alameda,2011,MIDDLE,3005,60014430023005,103,7,13,01,0130138,14400
01611760130435,0614400,Fremont Unified,Vista Alternative,Alameda,2011,HIGH,3005,60014430023005,26,7,13,01,0130435,14400
01611760130435,0614400,Fremont Unified,Vista Alternative,Alameda,2011,MIDDLE,3005,60014430023005,58,7,13,01,0130435,14400
01611760130534,0614400,Fremont Unified,Circle of Independent Learning,Alameda,2011,ELEMENTARY,4011,60014425004011,265,7,13,01,0130534,14400
