CDS_CODE,NCESDist,DISTRICT,SCHOOL,COUNTY,YEAR,SCHOOL_LEVEL,CAP_TOTAL,LEN_NCES_CODE,LEN_CDS_CODE,COUNTY_ID,SCHOOL_ID,DISTRICT_ID
01100170112607,0691051,Alameda County Office of Education,Envision Academy for Arts & Technology,Alameda,2013,HIGH,377,7,13,01,0112607,91051
01100170123968,0691051,Alameda County Office of Education,Community School for Creative Education,Alameda,2013,ELEMENTARY,186,7,13,01,0123968,91051
01100170124172,0691051,Alameda County Office of Education,Yu Ming Charter,Alameda,2013,ELEMENTARY,231,7,13,01,0124172,91051
01100170125567,0691051,Alameda County Office of Education,Urban Montessori Charter,Alameda,2013,ELEMENTARY,233,7,13,01,0125567,91051
01100170130401,0691051,Alameda County Office of Education,Alameda County Juvenile Hall/Court,Alameda,2013,HIGH,38,7,13,01,0130401,91051
01100170130401,0691051,Alameda County Office of Education,Alameda County Juvenile Hall/Court,Alameda,2013,MIDDLE,166,7,13,01,0130401,91051
01100170130419,0691051,Alameda County Office of Education,Alameda County Community,Alameda,2013,HIGH,120,7,13,01,0130419,91051
01100170130419,0691051,Alameda County Office of Education,Alameda County Community,Alameda,2013,MIDDLE,182,7,13,01,0130419,91051
01100176001788,0691051,Alameda County Office of Education,Cox Academy,Alameda,2013,ELEMENTARY,619,7,13,01,6001788,91051
01100176002000,0691051,Alameda County Office of Education,Lazear Charter Academy,Alameda,2013,ELEMENTARY,440,7,13,01,6002000,91051
01316090131755,0600002,California School for the Blind (State Special Sch,California School for the Blind,Alameda,2013,HIGH,77,7,13,01,0131755,00002
01316170131763,0600003,California School for the Deaf-Fremont (State Spec,California School for the Deaf-Fremont,Alameda,2013,ELEMENTARY,441,7,13,01,0131763,00003
01611190106401,0601770,Alameda Unified,Alameda Science and Technology Institute,Alameda,2013,HIGH,142,7,13,01,0106401,01770
01611190106401,0601770,Alameda Unified,Alameda Science and Technology Institute,Alameda,2013,MIDDLE,43,7,13,01,0106401,01770
01611190111765,0601770,Alameda Unified,Ruby Bridges Elementary,Alameda,2013,ELEMENTARY,643,7,13,01,0111765,01770
01611190119222,0601770,Alameda Unified,Nea Community Learning Center,Alameda,2013,ELEMENTARY,562,7,13,01,0119222,01770
01611190122085,0601770,Alameda Unified,The Academy of Alameda,Alameda,2013,ELEMENTARY,50,7,13,01,0122085,01770
01611190122085,0601770,Alameda Unified,The Academy of Alameda,Alameda,2013,MIDDLE,481,7,13,01,0122085,01770
01611190130229,0601770,Alameda Unified,Alameda High,Alameda,2013,HIGH,1994,7,13,01,0130229,01770
01611190130609,0601770,Alameda Unified,Alameda Community Learning Center,Alameda,2013,MIDDLE,364,7,13,01,0130609,01770
01611190134304,0601770,Alameda Unified,Island High (Continuation),Alameda,2013,HIGH,185,7,13,01,0134304,01770
01611196090013,0601770,Alameda Unified,Edison Elementary,Alameda,2013,ELEMENTARY,537,7,13,01,6090013,01770
01611196090021,0601770,Alameda Unified,Frank Otis Elementary,Alameda,2013,ELEMENTARY,625,7,13,01,6090021,01770
01611196090039,0601770,Alameda Unified,Franklin Elementary,Alameda,2013,ELEMENTARY,340,7,13,01,6090039,01770
01611196090047,0601770,Alameda Unified,Henry Haight Elementary,Alameda,2013,ELEMENTARY,484,7,13,01,6090047,01770
01611196090054,0601770,Alameda Unified,Lincoln Middle,Alameda,2013,MIDDLE,1066,7,13,01,6090054,01770
01611196090112,0601770,Alameda Unified,Will C. Wood Middle,Alameda,2013,MIDDLE,473,7,13,01,6090112,01770
01611196090120,0601770,Alameda Unified,William G. Paden Elementary,Alameda,2013,ELEMENTARY,360,7,13,01,6090120,01770
01611196100374,0601770,Alameda Unified,Amelia Earhart Elementary,Alameda,2013,ELEMENTARY,685,7,13,01,6100374,01770
01611196110779,0601770,Alameda Unified,Bay Farm,Alameda,2013,ELEMENTARY,621,7,13,01,6110779,01770
01611270130294,0601860,Albany City Unified,MacGregor High (Continuation),Alameda,2013,HIGH,17,7,13,01,0130294,01860
01611270130450,0601860,Albany City Unified,Albany High,Alameda,2013,HIGH,1090,7,13,01,0130450,01860
01611270130450,0601860,Albany City Unified,Albany High,Alameda,2013,MIDDLE,227,7,13,01,0130450,01860
01611276090146,0601860,Albany City Unified,Cornell Elementary,Alameda,2013,ELEMENTARY,650,7,13,01,6090146,01860
01611276090161,0601860,Albany City Unified,Albany Middle,Alameda,2013,ELEMENTARY,159,7,13,01,6090161,01860
01611276090161,0601860,Albany City Unified,Albany Middle,Alameda,2013,MIDDLE,805,7,13,01,6090161,01860
01611276095376,0601860,Albany City Unified,Marin Elementary,Alameda,2013,ELEMENTARY,596,7,13,01,6095376,01860
01611276116222,0601860,Albany City Unified,Ocean View Elementary,Alameda,2013,ELEMENTARY,718,7,13,01,6116222,01860
01611430131177,0604740,Berkeley Unified,Berkeley High,Alameda,2013,HIGH,3514,7,13,01,0131177,04740
01611430134924,0604740,Berkeley Unified,Berkeley Technology Academy,Alameda,2013,HIGH,110,7,13,01,0134924,04740
01611436056857,0604740,Berkeley Unified,Martin Luther King Middle,Alameda,2013,MIDDLE,1017,7,13,01,6056857,04740
01611436056865,0604740,Berkeley Unified,Willard Middle,Alameda,2013,MIDDLE,567,7,13,01,6056865,04740
01611436090187,0604740,Berkeley Unified,Rosa Parks Environmental Science Magnet,Alameda,2013,ELEMENTARY,535,7,13,01,6090187,04740
01611436090195,0604740,Berkeley Unified,Cragmont Elementary,Alameda,2013,ELEMENTARY,463,7,13,01,6090195,04740
01611436090211,0604740,Berkeley Unified,Emerson Elementary,Alameda,2013,ELEMENTARY,327,7,13,01,6090211,04740
01611436090252,0604740,Berkeley Unified,Jefferson Elementary,Alameda,2013,ELEMENTARY,372,7,13,01,6090252,04740
01611436090278,0604740,Berkeley Unified,Leconte Elementary,Alameda,2013,ELEMENTARY,380,7,13,01,6090278,04740
01611436090286,0604740,Berkeley Unified,Malcolm X Elementary,Alameda,2013,ELEMENTARY,583,7,13,01,6090286,04740
01611436090294,0604740,Berkeley Unified,Longfellow Arts and Technology Middle,Alameda,2013,MIDDLE,554,7,13,01,6090294,04740
01611436090302,0604740,Berkeley Unified,Oxford Elementary,Alameda,2013,ELEMENTARY,351,7,13,01,6090302,04740
01611436090310,0604740,Berkeley Unified,Thousand Oaks Elementary,Alameda,2013,ELEMENTARY,521,7,13,01,6090310,04740
01611436090328,0604740,Berkeley Unified,Washington Elementary,Alameda,2013,ELEMENTARY,521,7,13,01,6090328,04740
01611436097729,0604740,Berkeley Unified,Berkeley Arts Magnet at Whittier,Alameda,2013,ELEMENTARY,464,7,13,01,6097729,04740
01611436105316,0604740,Berkeley Unified,John Muir Elementary,Alameda,2013,ELEMENTARY,309,7,13,01,6105316,04740
01611500130047,0607800,Castro Valley Unified,Roy A. Johnson High,Alameda,2013,HIGH,15,7,13,01,0130047,07800
01611500132225,0607800,Castro Valley Unified,Castro Valley High,Alameda,2013,HIGH,3352,7,13,01,0132225,07800
01611500135533,0607800,Castro Valley Unified,Redwood Continuation High,Alameda,2013,HIGH,134,7,13,01,0135533,07800
01611506090351,0607800,Castro Valley Unified,Castro Valley Elementary,Alameda,2013,ELEMENTARY,541,7,13,01,6090351,07800
01611506090369,0607800,Castro Valley Unified,Chabot Elementary,Alameda,2013,ELEMENTARY,495,7,13,01,6090369,07800
01611506090385,0607800,Castro Valley Unified,Creekside Middle,Alameda,2013,MIDDLE,871,7,13,01,6090385,07800
01611506090393,0607800,Castro Valley Unified,Independent Elementary,Alameda,2013,ELEMENTARY,695,7,13,01,6090393,07800
01611506090401,0607800,Castro Valley Unified,Marshall Elementary,Alameda,2013,ELEMENTARY,509,7,13,01,6090401,07800
