year,count
2010,87914
2011,86836
2012,88113
2013,86327
2014,88383
2015,87338
2016,86874
2017,84062
2018,81378
2019,80564
2020,76900
2021,78444
2022,77643
2023,76855
2024,76151
2025,75639
2026,75200
2027,75367
2028,74568
2029,74504
2030,74448
2031,74207
2032,74193
2033,74348
2034,74599
2035,74941
2036,75399
2037,75806
2038,76145
2039,76679
2040,77303
2041,77541
2042,77831
2043,77987
2044,78092
2045,78184
2046,78108
2047,77978
2048,77810
2049,77634
2050,77369
2051,76989
2052,76603
2053,76240
2054,75988
2055,75709
2056,75502
2057,75483
2058,75476
2059,75393
2060,75441
