year,MAR,count
2011,1,2884550
2011,2,304384
2011,3,569855
2011,4,120738
2011,5,2037419
2012,1,2926246
2012,2,300675
2012,3,576144
2012,4,114219
2012,5,2095302
2013,1,2908412
2013,2,297308
2013,3,572651
2013,4,109184
2013,5,2097494
2014,1,3040160
2014,2,309862
2014,3,582591
2014,4,106755
2014,5,2174143
2015,1,3099232
2015,2,295743
2015,3,582912
2015,4,106020
2015,5,2224250
2016,1,3158735
2016,2,296643
2016,3,564950
2016,4,102527
2016,5,2220641
2017,1,3168709
2017,2,294575
2017,3,588749
2017,4,92910
2017,5,2276726
2018,1,3148435
2018,2,296221
2018,3,539277
2018,4,95979
2018,5,2242183
2019,1,3006897
2019,2,281447
2019,3,528856
2019,4,90490
2019,5,2207088
