0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
"(-0.001, 0.9]","(0.9, 4.0]","(4.0, 9.0]","(9.0, 14.0]","(14.0, 19.0]","(19.0, 24.0]","(24.0, 29.0]","(29.0, 34.0]","(34.0, 39.0]","(39.0, 44.0]","(44.0, 49.0]","(49.0, 54.0]","(54.0, 59.0]","(59.0, 64.0]","(64.0, 69.0]","(69.0, 74.0]","(74.0, 79.0]","(79.0, 84.0]","(84.0, 89.0]","(89.0, 94.0]","(94.0, 99.0]","(99.0, 1000.0]","(-0.001, 0.9]","(0.9, 4.0]","(4.0, 9.0]","(9.0, 14.0]","(14.0, 19.0]","(19.0, 24.0]","(24.0, 29.0]","(29.0, 34.0]","(34.0, 39.0]","(39.0, 44.0]","(44.0, 49.0]","(49.0, 54.0]","(54.0, 59.0]","(59.0, 64.0]","(64.0, 69.0]","(69.0, 74.0]","(74.0, 79.0]","(79.0, 84.0]","(84.0, 89.0]","(89.0, 94.0]","(94.0, 99.0]","(99.0, 1000.0]"
84352,147452,219711,224323,226261,193360,206724,245118,215536,226306,253307,269732,249974,245419,146056,91175,65660,47605,27687,11627,1474,0,0,145964,202616,210810,215256,177594,209450,247769,221077,234553,261154,283957,263024,266663,169791,107876,82564,65096,47474,23317,3623,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
"(-0.001, 0.9]","(0.9, 4.0]","(4.0, 9.0]","(9.0, 14.0]","(14.0, 19.0]","(19.0, 24.0]","(24.0, 29.0]","(29.0, 34.0]","(34.0, 39.0]","(39.0, 44.0]","(44.0, 49.0]","(49.0, 54.0]","(54.0, 59.0]","(59.0, 64.0]","(64.0, 69.0]","(69.0, 74.0]","(74.0, 79.0]","(79.0, 84.0]","(84.0, 89.0]","(89.0, 94.0]","(94.0, 99.0]","(99.0, 1000.0]","(-0.001, 0.9]","(0.9, 4.0]","(4.0, 9.0]","(9.0, 14.0]","(14.0, 19.0]","(19.0, 24.0]","(24.0, 29.0]","(29.0, 34.0]","(34.0, 39.0]","(39.0, 44.0]","(44.0, 49.0]","(49.0, 54.0]","(54.0, 59.0]","(59.0, 64.0]","(64.0, 69.0]","(69.0, 74.0]","(74.0, 79.0]","(79.0, 84.0]","(84.0, 89.0]","(89.0, 94.0]","(94.0, 99.0]","(99.0, 1000.0]"
0,245827,310421,316552,260494,168288,185272,235269,254652,259572,279768,276636,234381,208272,136788,78114,53332,39531,23183,5743,5833,0,80198,149853,288755,294926,237688,164037,173498,241997,262822,273889,286138,293687,260639,261410,201076,122550,96067,81815,62434,17713,23317,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
"(-0.001, 0.9]","(0.9, 4.0]","(4.0, 9.0]","(9.0, 14.0]","(14.0, 19.0]","(19.0, 24.0]","(24.0, 29.0]","(29.0, 34.0]","(34.0, 39.0]","(39.0, 44.0]","(44.0, 49.0]","(49.0, 54.0]","(54.0, 59.0]","(59.0, 64.0]","(64.0, 69.0]","(69.0, 74.0]","(74.0, 79.0]","(79.0, 84.0]","(84.0, 89.0]","(89.0, 94.0]","(94.0, 99.0]","(99.0, 1000.0]","(-0.001, 0.9]","(0.9, 4.0]","(4.0, 9.0]","(9.0, 14.0]","(14.0, 19.0]","(19.0, 24.0]","(24.0, 29.0]","(29.0, 34.0]","(34.0, 39.0]","(39.0, 44.0]","(44.0, 49.0]","(49.0, 54.0]","(54.0, 59.0]","(59.0, 64.0]","(64.0, 69.0]","(69.0, 74.0]","(74.0, 79.0]","(79.0, 84.0]","(84.0, 89.0]","(89.0, 94.0]","(94.0, 99.0]","(99.0, 1000.0]"
0,187304,300398,316803,273638,147856,157747,204753,237503,243912,260922,257698,211714,178184,134323,68046,45596,32950,18992,6560,3740,0,74809,172490,282685,295244,252169,147636,141622,206235,257780,249072,272649,267063,236564,225598,205356,116525,90129,75003,58722,24168,18609,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
