0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
"(-0.001, 0.9]","(0.9, 4.0]","(4.0, 9.0]","(9.0, 14.0]","(14.0, 19.0]","(19.0, 24.0]","(24.0, 29.0]","(29.0, 34.0]","(34.0, 39.0]","(39.0, 44.0]","(44.0, 49.0]","(49.0, 54.0]","(54.0, 59.0]","(59.0, 64.0]","(64.0, 69.0]","(69.0, 74.0]","(74.0, 79.0]","(79.0, 84.0]","(84.0, 89.0]","(89.0, 94.0]","(94.0, 99.0]","(99.0, 1000.0]","(-0.001, 0.9]","(0.9, 4.0]","(4.0, 9.0]","(9.0, 14.0]","(14.0, 19.0]","(19.0, 24.0]","(24.0, 29.0]","(29.0, 34.0]","(34.0, 39.0]","(39.0, 44.0]","(44.0, 49.0]","(49.0, 54.0]","(54.0, 59.0]","(59.0, 64.0]","(64.0, 69.0]","(69.0, 74.0]","(74.0, 79.0]","(79.0, 84.0]","(84.0, 89.0]","(89.0, 94.0]","(94.0, 99.0]","(99.0, 1000.0]"
0,147456,219706,224315,226208,193321,206684,245059,215489,226253,253233,269722,249838,245207,145771,90906,65312,47294,27458,11559,1477,0,94101,145976,202615,210818,215231,177572,209437,247755,221041,234536,261148,283878,262962,266544,169602,107768,82401,64974,47155,23102,3578,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
"(-0.001, 0.9]","(0.9, 4.0]","(4.0, 9.0]","(9.0, 14.0]","(14.0, 19.0]","(19.0, 24.0]","(24.0, 29.0]","(29.0, 34.0]","(34.0, 39.0]","(39.0, 44.0]","(44.0, 49.0]","(49.0, 54.0]","(54.0, 59.0]","(59.0, 64.0]","(64.0, 69.0]","(69.0, 74.0]","(74.0, 79.0]","(79.0, 84.0]","(84.0, 89.0]","(89.0, 94.0]","(94.0, 99.0]","(99.0, 1000.0]","(-0.001, 0.9]","(0.9, 4.0]","(4.0, 9.0]","(9.0, 14.0]","(14.0, 19.0]","(19.0, 24.0]","(24.0, 29.0]","(29.0, 34.0]","(34.0, 39.0]","(39.0, 44.0]","(44.0, 49.0]","(49.0, 54.0]","(54.0, 59.0]","(59.0, 64.0]","(64.0, 69.0]","(69.0, 74.0]","(74.0, 79.0]","(79.0, 84.0]","(84.0, 89.0]","(89.0, 94.0]","(94.0, 99.0]","(99.0, 1000.0]"
90761,108275,217747,225838,231806,196148,207274,239258,229691,223549,247055,273156,254907,241979,164352,93209,64304,46123,26822,6538,6458,0,0,203141,203355,209651,223241,179413,206543,241087,233063,230592,255513,287718,268832,261942,195376,114172,84158,66992,47524,13263,17129,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
"(-0.001, 0.9]","(0.9, 4.0]","(4.0, 9.0]","(9.0, 14.0]","(14.0, 19.0]","(19.0, 24.0]","(24.0, 29.0]","(29.0, 34.0]","(34.0, 39.0]","(39.0, 44.0]","(44.0, 49.0]","(49.0, 54.0]","(54.0, 59.0]","(59.0, 64.0]","(64.0, 69.0]","(69.0, 74.0]","(74.0, 79.0]","(79.0, 84.0]","(84.0, 89.0]","(89.0, 94.0]","(94.0, 99.0]","(99.0, 1000.0]","(-0.001, 0.9]","(0.9, 4.0]","(4.0, 9.0]","(9.0, 14.0]","(14.0, 19.0]","(19.0, 24.0]","(24.0, 29.0]","(29.0, 34.0]","(34.0, 39.0]","(39.0, 44.0]","(44.0, 49.0]","(49.0, 54.0]","(54.0, 59.0]","(59.0, 64.0]","(64.0, 69.0]","(69.0, 74.0]","(74.0, 79.0]","(79.0, 84.0]","(84.0, 89.0]","(89.0, 94.0]","(94.0, 99.0]","(99.0, 1000.0]"
0,162447,216022,229541,232019,208355,203572,230893,233661,220029,240724,270339,253724,233862,183613,93940,62074,43936,25609,8329,4558,0,88342,166131,204188,213305,222688,192538,198995,231731,244982,221079,253640,282153,269176,248411,215500,116208,84103,64452,46248,17988,13731,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
