MAR,count,year
1,682241,2011
5,415801,2011
3,126448,2011
2,38406,2011
4,19911,2011
1,673499,2012
5,424222,2012
3,138745,2012
2,32305,2012
4,19150,2012
1,667806,2013
5,437090,2013
3,148321,2013
2,27622,2013
4,18552,2013
1,663946,2014
5,456780,2014
3,156966,2014
2,24129,2014
4,18103,2014
1,667262,2015
5,477662,2015
3,162752,2015
2,21349,2015
4,17793,2015
1,668245,2016
5,498889,2016
3,169980,2016
2,19071,2016
4,17520,2016
1,709026,2017
5,551715,2017
3,182280,2017
4,18166,2017
2,17886,2017
1,723824,2018
5,579760,2018
3,183213,2018
4,17988,2018
2,16200,2018
1,712074,2019
5,595279,2019
3,180998,2019
4,17490,2019
2,14517,2019
1,708694,2020
5,612621,2020
3,176737,2020
4,17030,2020
2,13405,2020
